Taxon Id	Common name	Scientific name	Parent	Rank
1176748		Foudia eminentissima anjuanensis	441684	subspecies
1176752		Foudia eminentissima eminentissima	441684	subspecies
1177618	Baer's pochard	Aythya baeri	30384	species
1178542		Calyptura	634316	genus
1178543	kinglet Calyptura	Calyptura cristata	1178542	species
1178546	Imperial snipe	Gallinago imperialis	107376	species
1178547		Limnodromus semipalmatus	161677	species
1178549		Limosa limosa islandica	161680	subspecies
1178550		Limosa limosa melanuroides	161680	subspecies
1182784	Salvadori's fig-parrot	Psittaculirostris salvadorii	274069	species
1187130		Saxicola maurus maurus	230657	subspecies
1192863	Grey-headed gull	Larus cirrocephalus	1129741	species
1192867	Black-headed gull	Chroicocephalus ridibundus	1129741	species
1193118		Anairetes agraphia agraphia	649780	subspecies
1193120		Anairetes alpinus bolivianus	83297	subspecies
1193121		Anairetes flavirostris flavirostris	74357	subspecies
1193122		Anairetes flavirostris huancabambae	74357	subspecies
1193123		Anairetes flavirostris arequipae	74357	subspecies
1193124		Anairetes flavirostris cuzcoensis	74357	subspecies
1193126		Anairetes parulus parulus	83300	subspecies
1193127		Anairetes parulus aequatorialis	83300	subspecies
1193129		Anairetes reguloides reguloides	83301	subspecies
1193130		Anairetes reguloides albiventris	83301	subspecies
1194683		Corvus macrorhynchos mandshuricus	36249	subspecies
1194684		Corvus macrorhynchos connectens	36249	subspecies
1194685		Corvus levaillantii	36249	subspecies
1196223	little crow	Corvus bennetti	30420	species
1196224	Cape crow	Corvus capensis	30420	species
1196225		Corvus coronoides coronoides	108826	subspecies
1196226		Corvus coronoides perplexus	108826	subspecies
1196271	thick billed raven	Corvus crassirostris	30420	species
1196281	Somali raven	Corvus edithae	30420	species
1196282	slender-billed crow	Corvus enca	30420	species
1196283		Corvus enca compilator	1196282	subspecies
1196284		Corvus enca pusillus	1196282	subspecies
1196285		Corvus enca celebensis	1196282	subspecies
1196286	Flores crow	Corvus florensis	30420	species
1196287	brown-headed crow	Corvus fuscicapillus	30420	species
1196288	Tamaulipas crow	Corvus imparatus	30420	species
1196294	Bismarck crow	Corvus insularis	30420	species
1196295	Jamaican crow	Corvus jamaicensis	30420	species
1196296	white-necked crow	Corvus leucognaphalus	30420	species
1196297		Corvus macrorhynchos philippinus	36249	subspecies
1196298	Bougainville crow	Corvus meeki	30420	species
1196299	little raven	Corvus mellori	30420	species
1196301	Cuban palm-crow	Corvus minutus	30420	species
1196302	New Caledonian crow	Corvus moneduloides	30420	species
1196303		Corvus orru cecilae	254520	subspecies
1196304	Hispaniolan palm-crow	Corvus palmarum	30420	species
1196305	collared crow	Corvus pectoralis	30420	species
1196306		Corvus rhipidurus	30420	species
1196307	brown-necked raven	Corvus ruficollis	30420	species
1196309	Sinaloa crow	Corvus sinaloae	30420	species
1196310	forest raven	Corvus tasmanicus	30420	species
1196311		Corvus tasmanicus boreus	1196310	subspecies
1196312		Corvus tasmanicus tasmanicus	1196310	subspecies
1196314	grey crow	Corvus tristis	30420	species
1196315	piping crow	Corvus typicus	30420	species
1196317	Banggai crow	Corvus unicolor	30420	species
1196318	long-billed crow	Corvus validus	30420	species
1196319	violaceous crow	Corvus violaceus	30420	species
1196320	white-billed crow	Corvus woodfordi	30420	species
1196321	Uhehe fiscal	Lanius marwitzi	28712	species
1196725	Western horned owl	Bubo virginianus subarcticus	56268	subspecies
1196726	Virginia great horned owl	Bubo virginianus pallescens	56268	subspecies
1196727		Bubo virginianus pinorum	56268	subspecies
1196728	Northwestern Horned Owl	Bubo virginianus lagophonus	56268	subspecies
1196729	St.Michael horned owl	Bubo virginianus saturatus	56268	subspecies
1197116	Siberian nuthatch	Sitta arctica	50248	species
1197681	Cape white-eye	Zosterops capensis	36298	species
1198646	American raven	Corvus corax sinuatus	56781	subspecies
1198668		Corvus corax jordansi	56781	subspecies
1199189	Macleay honeyeater	Xanthotis macleayanus	266388	species
1200311		Cisticola erythrops	52621	species
1200312	Philippine tailorbird	Orthotomus castaneiceps	546339	species
1200313		Orthotomus cinereiceps	546339	species
1200314		Orthotomus derbianus	546339	species
1200315		Orthotomus frontalis	546339	species
1200316		Orthotomus nigriceps	546339	species
1200317		Orthotomus ruficeps	546339	species
1200318		Orthotomus samarensis	546339	species
